time,value,valunit,factor_to_ng,species,MW_kDa,val_nM
7.090909091,221.7882775,ug/ml,1000,tocilizumab,148,1498.569443
7.636363636,179.6710526,ug/ml,1000,tocilizumab,148,1213.993599
8.045454545,155.9778708,ug/ml,1000,tocilizumab,148,1053.904533
10.22727273,101.9826555,ug/ml,1000,tocilizumab,148,689.0719966
13.90909091,69.00717703,ug/ml,1000,tocilizumab,148,466.2647097
15.13636364,59.76973684,ug/ml,1000,tocilizumab,148,403.8495733
21.13636364,37.26973684,ug/ml,1000,tocilizumab,148,251.8225462
28.22727273,21.32476077,ug/ml,1000,tocilizumab,148,144.0862214
35.04545455,9.333133971,ug/ml,1000,tocilizumab,148,63.06171602
41.86363636,-0.026913876,ug/ml,1000,tocilizumab,148,-0.181850511
43.22727273,-0.056818182,ug/ml,1000,tocilizumab,148,-0.383906634
-16.09090909,40.71770335,ng/ml,1,sIL6-R,52,0.783032757
-0.954545455,35.12260766,ng/ml,1,sIL6-R,52,0.675434763
6.954545455,37.58074163,ng/ml,1,sIL6-R,52,0.72270657
8.045454545,98.08313397,ng/ml,1,sIL6-R,52,1.886214115
9.818181818,188.8337321,ng/ml,1,sIL6-R,52,3.631417924
14.31818182,282.1561005,ng/ml,1,sIL6-R,52,5.426078855
14.86363636,303.1967703,ng/ml,1,sIL6-R,52,5.830707122
21.13636364,395.1644737,ng/ml,1,sIL6-R,52,7.599316802
28.5,413.4240431,ng/ml,1,sIL6-R,52,7.950462367
35.04545455,410.6489234,ng/ml,1,sIL6-R,52,7.897094682
42.40909091,365.7505981,ng/ml,1,sIL6-R,52,7.033665348
43.09090909,306.5251196,ng/ml,1,sIL6-R,52,5.894713839
62.18181818,35.05382775,ng/ml,1,sIL6-R,52,0.674112072
-16.22727273,30.19437799,pg/ml,0.001,IL-6,21,0.001437828
-0.136363636,40.36782297,pg/ml,0.001,IL-6,21,0.001922277
7.090909091,38.89354067,pg/ml,0.001,IL-6,21,0.001852073
8.318181818,195.4455742,pg/ml,0.001,IL-6,21,0.009306932
10.09090909,121.722488,pg/ml,0.001,IL-6,21,0.005796309
14.18181818,138.7380383,pg/ml,0.001,IL-6,21,0.006606573
15.27272727,125.5562201,pg/ml,0.001,IL-6,21,0.005978868
21.27272727,138.5825359,pg/ml,0.001,IL-6,21,0.006599168
28.22727273,138.4300239,pg/ml,0.001,IL-6,21,0.006591906
35.31818182,114.590311,pg/ml,0.001,IL-6,21,0.005456681
42.27272727,80.22727273,pg/ml,0.001,IL-6,21,0.003820346
43.36363636,88.09808612,pg/ml,0.001,IL-6,21,0.004195147
62.18181818,14.00119617,pg/ml,0.001,IL-6,21,0.000666724
-16.12756264,24.94223691,ug/ml,1000,CRP,120,207.8519743
0,25.3056143,ug/ml,1000,CRP,120,210.8801192
6.833712984,25.76782773,ug/ml,1000,CRP,120,214.7318977
8.063781321,24.34171827,ug/ml,1000,CRP,120,202.8476522
10.11389522,6.308544588,ug/ml,1000,CRP,120,52.5712049
13.80410023,0.741433394,ug/ml,1000,CRP,120,6.17861162
14.89749431,1.033048641,ug/ml,1000,CRP,120,8.608738672
21.04783599,0.632811608,ug/ml,1000,CRP,120,5.273430067
27.88154897,0.235836491,ug/ml,1000,CRP,120,1.965304092
35.261959,0.271065179,ug/ml,1000,CRP,120,2.258876488
41.95899772,3.596588036,ug/ml,1000,CRP,120,29.97156697
43.32574032,8.615045042,ug/ml,1000,CRP,120,71.79204201
62.32346241,18.87279073,ug/ml,1000,CRP,120,157.2732561